"ISSUERID","ISSUER_NAME","ISSUER_TICKER","ISSUER_CUSIP","ISSUER_SEDOL","ISSUER_ISIN","ISSUER_CNTRY_DOMICILE","GICS_SECTOR","GICS_IND","GICS_SUB_IND"
"IID000000002123685","CSX Corporation","CSX","126408103","2160753","US1264081035","US","Industrials","Ground Transportation","Rail Transportation"
"IID000000002123686","COTERRA ENERGY INC.","CTRA","127097103","2162340","US1270971039","US","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"IID000000002123690","Magna International Inc.","MG","559222401","2554475","CA5592224011","CA","Consumer Discretionary","Automobile Components","Automotive Parts & Equipment"
"IID000000002123695","THE J. M. SMUCKER COMPANY","SJM","832696405","2951452","US8326964058","US","Consumer Staples","Food Products","Packaged Foods & Meats"
"IID000000002123700","THE SOUTHERN COMPANY","SO","842587107","2829601","US8425871071","US","Utilities","Electric Utilities","Electric Utilities"
"IID000000002123703","S&P GLOBAL INC.","SPGI","78409V104","BYV2325","US78409V1044","US","Financials","Capital Markets","Financial Exchanges & Data"
"IID000000002123704","MARTIN MARIETTA MATERIALS, INC.","MLM","573284106","2572079","US5732841060","US","Materials","Construction Materials","Construction Materials"
"IID000000002123707","DARDEN RESTAURANTS, INC.","DRI","237194105","2289874","US2371941053","US","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants"
"IID000000002123710","BCE INC.","BCE","05534B760","B188TH2","CA05534B7604","CA","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services"
"IID000000002123714","STRYKER CORPORATION","SYK","863667101","2853688","US8636671013","US","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"IID000000002123715","AMPHENOL CORPORATION","APH","032095101","2145084","US0320951017","US","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components"
"IID000000002123719","AFLAC INCORPORATED","AFL","001055102","2026361","US0010551028","US","Financials","Insurance","Life & Health Insurance"
"IID000000002123728","CELESTICA INC.","CLS","15101Q207","BSCB6L9","CA15101Q2071","CA","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services"
"IID000000002123730","Dominion Energy, Inc.","D","25746U109","2542049","US25746U1097","US","Utilities","Multi-Utilities","Multi-Utilities"
"IID000000002123735","Power Assets Holdings Limited","6","739197200","6435327","HK0006000050","HK","Utilities","Electric Utilities","Electric Utilities"
"IID000000002123743","BNP PARIBAS SA","BNP","05565A202","7309681","FR0000131104","FR","Financials","Banks","Diversified Banks"
"IID000000002123744","ABB Ltd","ABBN","000375204","7108899","CH0012221716","CH","Industrials","Electrical Equipment","Electrical Components & Equipment"
"IID000000002123746","AXA SA","CS","054536107","7088429","FR0000120628","FR","Financials","Insurance","Multi-line Insurance"
"IID000000002123750","OTSUKA CORPORATION","4768","","6267058","JP3188200004","JP","Information Technology","IT Services","IT Consulting & Other Services"
"IID000000002123759","ARISTOCRAT LEISURE LIMITED","ALL","","6253983","AU000000ALL7","AU","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming"
"IID000000002123767","ASSOCIATED BRITISH FOODS PLC","ABF","045519402","0673123","GB0006731235","GB","Consumer Staples","Food Products","Packaged Foods & Meats"
"IID000000002123771","BT GROUP PLC","BT.A","11778F103","3091357","GB0030913577","GB","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services"
"IID000000002123776","Idemitsu Kosan Co.,Ltd.","5019","45166E104","B1FF8P7","JP3142500002","JP","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing"
"IID000000002123783","BARRATT REDROW PLC","BTRW","068334101","0081180","GB0000811801","GB","Consumer Discretionary","Household Durables","Homebuilding"
"IID000000002123799","ADVANCED MICRO DEVICES, INC.","AMD","007903107","2007849","US0079031078","US","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"IID000000002123904","COSTCO WHOLESALE CORPORATION","COST","22160K105","2701271","US22160K1051","US","Consumer Staples","Consumer Staples Distribution & Retail","Consumer Staples Merchandise Retail"
"IID000000002123928","TDK CORPORATION","6762","872351408","6869302","JP3538800008","JP","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components"
"IID000000002123931","ANGLO AMERICAN PLC","AAL","03485P409","BTK05J6","GB00BTK05J60","GB","Materials","Metals & Mining","Diversified Metals & Mining"
"IID000000002123935","Mitsubishi Corporation","8058","606769404","6596785","JP3898400001","JP","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"IID000000002123942","TOYOTA INDUSTRIES CORPORATION","6201","892330101","6900546","JP3634600005","JP","Industrials","Machinery","Construction Machinery & Heavy Transportation Equipment"
"IID000000002123944","Bayer Aktiengesellschaft","BAYN","072730302","5069211","DE000BAY0017","DE","Health Care","Pharmaceuticals","Pharmaceuticals"
"IID000000002123948","BUNZL PUBLIC LIMITED COMPANY","BNZL","120738406","B0744B3","GB00B0744B38","GB","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"IID000000002123955","Nokia Oyj","NOKIA","654902204","5902941","FI0009000681","FI","Information Technology","Communications Equipment","Communications Equipment"
"IID000000002123961","Stora Enso Oyj","STERV","86210M106","5072673","FI0009005961","FI","Materials","Paper & Forest Products","Paper Products"
"IID000000002123986","LOEWS CORPORATION","L","540424108","2523022","US5404241086","US","Financials","Insurance","Property & Casualty Insurance"
"IID000000002124016","ALEXANDRIA REAL ESTATE EQUITIES, INC.","ARE","015271109","2009210","US0152711091","US","Real Estate","Health Care REITs","Health Care REITs"
"IID000000002124020","BYD Electronic (International) Company Limited","0285","124312109","B29SHS5","HK0285041858","CN","Information Technology","Communications Equipment","Communications Equipment"
"IID000000002124048","ASTRAL LIMITED","ASTRAL","","BR2NB24","INE006I01046","IN","Industrials","Building Products","Building Products"
"IID000000002124071","CAPGEMINI SE","CAP","13961R100","4163437","FR0000125338","FR","Information Technology","IT Services","IT Consulting & Other Services"
"IID000000002124089","CARREFOUR SA","CA","144430204","5641567","FR0000120172","FR","Consumer Staples","Consumer Staples Distribution & Retail","Consumer Staples Merchandise Retail"
"IID000000002124134","BAJAJ FINANCE LIMITED","BAJFINANCE","","BTFGH15","INE296A01032","IN","Financials","Consumer Finance","Consumer Finance"
"IID000000002124154","Hexagon Aktiebolag","HEXA B","428263107","BNZFHC1","SE0015961909","SE","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments"
"IID000000002124163","China Railway Group Limited","601390","","B292YZ3","CNE100000866","CN","Industrials","Construction & Engineering","Construction & Engineering"
"IID000000002124168","BANK OF AMERICA CORPORATION","BAC","060505104","2295677","US0605051046","US","Financials","Banks","Diversified Banks"
"IID000000002124185","COROMANDEL INTERNATIONAL LIMITED","COROMANDEL","","B0VDZN5","INE169A01031","IN","Materials","Chemicals","Fertilizers & Agricultural Chemicals"
"IID000000002124204","DAITO TRUST CONSTRUCTION CO.,LTD.","1878","23405X209","6250508","JP3486800000","JP","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities"
"IID000000002124210","CINTAS CORPORATION","CTAS","172908105","2197137","US1729081059","US","Industrials","Commercial Services & Supplies","Diversified Support Services"
"IID000000002124263","F5, INC.","FFIV","315616102","2427599","US3156161024","US","Information Technology","Communications Equipment","Communications Equipment"
"IID000000002124287","BIOGEN INC.","BIIB","09062X103","2455965","US09062X1037","US","Health Care","Biotechnology","Biotechnology"
"IID000000002124303","Bangkok Dusit Medical Services Public Company Limited","BDMS","05989Q106","BLZGSL6","TH0264A10Z04","TH","Health Care","Health Care Providers & Services","Health Care Facilities"
"IID000000002124332","INCYTE CORPORATION","INCY","45337C102","2471950","US45337C1027","US","Health Care","Biotechnology","Biotechnology"
"IID000000002124358","UNICHARM CORPORATION","8113","90460M204","6911485","JP3951600000","JP","Consumer Staples","Household Products","Household Products"
"IID000000002124365","Sanrio Company,Ltd.","8136","80106T200","6776349","JP3343200006","JP","Consumer Discretionary","Specialty Retail","Other Specialty Retail"
"IID000000002124368","Yokogawa Electric Corporation","6841","986008100","6986427","JP3955000009","JP","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments"
"IID000000002124370","KEYENCE CORPORATION","6861","","6490995","JP3236200006","JP","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments"
"IID000000002124373","CHINA CITIC BANK CORPORATION LIMITED","601998","169389202","B1VXHG9","CNE1000000R4","CN","Financials","Banks","Diversified Banks"
"IID000000002124383","Huadian Power International Corporation Limited","600027","443297106","B05R5D3","CNE000001LJ2","CN","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders"
"IID000000002124384","Dongfang Electric Corporation Limited","600875","","6278577","CNE000000J28","CN","Industrials","Electrical Equipment","Heavy Electrical Equipment"
"IID000000002124385","CHINA RESOURCES LAND LIMITED","1109","16942S105","6193766","KYG2108Y1052","HK","Real Estate","Real Estate Management & Development","Real Estate Development"
"IID000000002124406","BOSTON SCIENTIFIC CORPORATION","BSX","101137107","2113434","US1011371077","US","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"IID000000002124409","THE BANK OF NOVA SCOTIA","BNS","064149107","2076281","CA0641491075","CA","Financials","Banks","Diversified Banks"
"IID000000002124482","Komercni banka, a.s.","KOMB","","4519449","CZ0008019106","CZ","Financials","Banks","Diversified Banks"
"IID000000002124495","INTUITIVE SURGICAL, INC.","ISRG","46120E602","2871301","US46120E6023","US","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"IID000000002124501","Shanghai Electric Group Company Limited","601727","81943J108","B3FJ9X8","CNE100000D55","CN","Industrials","Electrical Equipment","Heavy Electrical Equipment"
"IID000000002124548","JACK HENRY & ASSOCIATES, INC.","JKHY","426281101","2469193","US4262811015","US","Financials","Financial Services","Transaction & Payment Processing Services"
"IID000000002124563","China Oilfield Services Limited","601808","","B24G115","CNE100000759","CN","Energy","Energy Equipment & Services","Oil & Gas Drilling"
"IID000000002124584","Sekisui Chemical Co., Ltd.","4204","81607R107","6793821","JP3419400001","JP","Industrials","Industrial Conglomerates","Industrial Conglomerates"
"IID000000002124595","China National Building Material Company Limited","3323","16947K107","B0Y91C1","CNE1000002N9","CN","Materials","Construction Materials","Construction Materials"
"IID000000002124666","Kawasaki Kisen Kaisha, Ltd.","9107","486364201","6484686","JP3223800008","JP","Industrials","Marine Transportation","Marine Transportation"
"IID000000002124678","KDDI CORPORATION","9433","48667L106","6248990","JP3496400007","JP","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services"
"IID000000002124693","FIRST QUANTUM MINERALS LTD.","FM","335934105","2347608","CA3359341052","CA","Materials","Metals & Mining","Copper"
"IID000000002124711","HINDUSTAN PETROLEUM CORPORATION LIMITED","HINDPETRO","","6100476","INE094A01015","IN","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing"
"IID000000002124768","HERO MOTOCORP LIMITED","HEROMOTOCO","","6327327","INE158A01026","IN","Consumer Discretionary","Automobiles","Motorcycle Manufacturers"
"IID000000002124786","Hong Kong Exchanges and Clearing Limited","388","43858F109","6267359","HK0388045442","HK","Financials","Capital Markets","Financial Exchanges & Data"
"IID000000002124789","ORIENT OVERSEAS (INTERNATIONAL) LIMITED","316","68620F103","6659116","BMG677491539","HK","Industrials","Marine Transportation","Marine Transportation"
"IID000000002124801","BEIJING ENTERPRISES HOLDINGS LIMITED","392","","6081690","HK0392044647","HK","Utilities","Gas Utilities","Gas Utilities"
"IID000000002124812","Kao Corporation","4452","485537401","6483809","JP3205800000","JP","Consumer Staples","Personal Care Products","Personal Care Products"
"IID000000002124820","L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA","AI","009126202","B1YXBJ7","FR0000120073","FR","Materials","Chemicals","Industrial Gases"
"IID000000002124846","China Eastern Airlines Corporation Limited","600115","16937R203","6085261","CNE000000TR0","CN","Industrials","Passenger Airlines","Passenger Airlines"
"IID000000002124852","AKBANK TURK ANONIM SIRKETI","AKBNK.E","009719501","B03MN70","TRAAKBNK91N6","TR","Financials","Banks","Diversified Banks"
"IID000000002124880","Fortis Inc.","FTS","349553107","2347200","CA3495531079","CA","Utilities","Electric Utilities","Electric Utilities"
"IID000000002124946","BPER BANCA S.P.A.","BPE","055660104","4116099","IT0000066123","IT","Financials","Banks","Diversified Banks"
"IID000000002125002","SIGMA HEALTHCARE LIMITED","SIG","","BF13K02","AU000000SIG5","AU","Health Care","Health Care Providers & Services","Health Care Distributors"
"IID000000002125016","HUANENG POWER INTERNATIONAL, INC.","600011","","6422136","CNE000001998","CN","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders"
"IID000000002125056","CEZ, a.s.","CEZ","157214107","5624030","CZ0005112300","CZ","Utilities","Electric Utilities","Electric Utilities"
"IID000000002125076","Lenovo Group Limited","992","526250105","6218089","HK0992009065","CN","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"IID000000002125131","CENTERPOINT ENERGY, INC.","CNP","15189T107","2440637","US15189T1079","US","Utilities","Multi-Utilities","Multi-Utilities"
"IID000000002125139","WESFARMERS LIMITED","WES","950840306","6948836","AU000000WES1","AU","Consumer Discretionary","Broadline Retail","Broadline Retail"
"IID000000002125152","Realtek Semiconductor Corp.","2379","756063400","6051422","TW0002379005","TW","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"IID000000002125231","MORGAN STANLEY","MS","617446448","2262314","US6174464486","US","Financials","Capital Markets","Investment Banking & Brokerage"
"IID000000002125235","WESTPAC BANKING CORPORATION","WBC","961214707","6076146","AU000000WBC1","AU","Financials","Banks","Diversified Banks"
"IID000000002125247","XERO LIMITED","XRO","98421V106","B8P4LP4","NZXROE0001S2","NZ","Information Technology","Software","Application Software"
"IID000000002125255","DANAHER CORPORATION","DHR","235851102","2250870","US2358511028","US","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services"
"IID000000002125284","DIAGEO PLC","DGE","25243Q205","0237400","GB0002374006","GB","Consumer Staples","Beverages","Distillers & Vintners"
"IID000000002125293","NARI Technology Co., Ltd.","600406","","6695228","CNE000001G38","CN","Industrials","Electrical Equipment","Heavy Electrical Equipment"
"IID000000002125315","FREEPORT-MCMORAN INC.","FCX","35671D857","2352118","US35671D8570","US","Materials","Metals & Mining","Copper"
"IID000000002125316","FIRSTENERGY CORP.","FE","337932107","2100920","US3379321074","US","Utilities","Electric Utilities","Electric Utilities"
"IID000000002125327","BANK LEUMI LE ISRAEL B.M.","LUMI","","6076425","IL0006046119","IL","Financials","Banks","Diversified Banks"
"IID000000002125348","Hangzhou Silan Microelectronics Co., Ltd.","600460","","6592590","CNE000001DN1","CN","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"IID000000002125420","MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.","MOTV3","","BV8BRB1","BRMOTVACNOR7","BR","Industrials","Transportation Infrastructure","Highways & Railtracks"
"IID000000002125517","COCHLEAR LIMITED","COH","191459205","6211798","AU000000COH5","AU","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"IID000000002125558","PT Indofood Sukses Makmur Tbk","INDF","45577X105","6283979","ID1000057003","ID","Consumer Staples","Food Products","Packaged Foods & Meats"
"IID000000002125581","China Merchants Energy Shipping Co., Ltd.","601872","","B1H6P80","CNE000001PQ8","CN","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation"
"IID000000002125620","Constellation Software Inc.","CSU","21037X100","B15C4L6","CA21037X1006","CA","Information Technology","Software","Application Software"
"IID000000002125624","CREDIT AGRICOLE SA","ACA","225313105","7262610","FR0000045072","FR","Financials","Banks","Diversified Banks"
"IID000000002125650","CRH PUBLIC LIMITED COMPANY","CRH","","B01ZKD6","IE0001827041","IE","Materials","Construction Materials","Construction Materials"
"IID000000002125861","Daiwa Securities Group Inc.","8601","234064301","6251448","JP3502200003","JP","Financials","Capital Markets","Investment Banking & Brokerage"
"IID000000002125921","Shengyi Technology Co., Ltd.","600183","","6128779","CNE000000XL5","CN","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components"
"IID000000002125931","MIRAE ASSET SECURITIES CO.,LTD.","006800","","6249658","KR7006800007","KR","Financials","Capital Markets","Diversified Capital Markets"
"IID000000002125950","Airbus SE","AIR","009279100","4012250","NL0000235190","NL","Industrials","Aerospace & Defense","Aerospace & Defense"
"IID000000002125981","Arca Continental, S.A.B. de C.V.","AC*","","2823885","MX01AC100006","MX","Consumer Staples","Beverages","Soft Drinks & Non-alcoholic Beverages"
"IID000000002126164","ESSILORLUXOTTICA SA","EL","297284200","7212477","FR0000121667","FR","Health Care","Health Care Equipment & Supplies","Health Care Supplies"
"IID000000002126184","L E Lundbergforetagen Aktiebolag (publ)","LUND B","","4538002","SE0000108847","SE","Financials","Financial Services","Multi-Sector Holdings"
"IID000000002126214","Dubai Islamic Bank P.J.S.C.","DIB","","6283452","AED000201015","AE","Financials","Banks","Diversified Banks"
"IID000000002126219","HONGKONG LAND HOLDINGS LIMITED","H78","438581308","6434915","BMG4587L1090","BM","Real Estate","Real Estate Management & Development","Real Estate Operating Companies"
"IID000000002126245","KING YUAN ELECTRONICS CO., LTD.","2449","","6352493","TW0002449006","TW","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors"
"IID000000002126466","COVIVIO SA","COV","22357Q105","7745638","FR0000064578","FR","Real Estate","Diversified REITs","Diversified REITs"
"IID000000002126486","GECINA SA","GFC","","7742468","FR0010040865","FR","Real Estate","Office REITs","Office REITs"
"IID000000002126512","GERDAU S.A.","GGB","373737105","2645443","BRGGBRACNOR1","BR","Materials","Metals & Mining","Steel"
"IID000000002126514","HYUNDAI GLOVIS Co., LTD.","086280","","B0V3XR5","KR7086280005","KR","Industrials","Air Freight & Logistics","Air Freight & Logistics"
"IID000000002126515","Grupo Aeroportuario del Pacifico, S.A.B. de C.V.","GAPB","400506101","B0ZV104","MX01GA000004","MX","Industrials","Transportation Infrastructure","Airport Services"
"IID000000002126556","CHINA GOLD INTERNATIONAL RESOURCES CORP. LTD.","2099","16890P103","B60FNV8","CA16890P1036","CA","Materials","Metals & Mining","Gold"
"IID000000002126567","MANULIFE FINANCIAL CORPORATION","MFC","56501R106","2492519","CA56501R1064","CA","Financials","Insurance","Life & Health Insurance"
"IID000000002126626","Jiangsu Zhongtian Technology Co., Ltd.","600522","","6548764","CNE000001CW4","CN","Industrials","Electrical Equipment","Electrical Components & Equipment"
"IID000000002126698","HANMI Semiconductor CO., LTD.","042700","","B0CSXQ8","KR7042700005","KR","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Materials & Equipment"
"IID000000002126711","Haier Smart Home Co., Ltd.","600690","40523H106","6716884","CNE000000CG9","CN","Consumer Discretionary","Household Durables","Household Appliances"
"IID000000002126716","INDUSTRIAL BANK CO.,LTD.","601166","","B1P13B6","CNE000001QZ7","CN","Financials","Banks","Diversified Banks"
"IID000000002126791","INSURANCE AUSTRALIA GROUP LIMITED","IAG","457874204","6271026","AU000000IAG3","AU","Financials","Insurance","Property & Casualty Insurance"
"IID000000002126836","Iberdrola, S.A.","IBE","450737101","B288C92","ES0144580Y14","ES","Utilities","Electric Utilities","Electric Utilities"
"IID000000002127078","Jeronimo Martins, SGPS, S.A.","JMT","476493101","B1Y1SQ7","PTJMT0AE0001","PT","Consumer Staples","Consumer Staples Distribution & Retail","Food Retail"
"IID000000002127098","MID-AMERICA APARTMENT COMMUNITIES, INC.","MAA","59522J103","2589132","US59522J1034","US","Real Estate","Residential REITs","Multi-Family Residential REITs"
"IID000000002127163","UNICREDIT, SOCIETA PER AZIONI","UCG","904678406","BYMXPS7","IT0005239360","IT","Financials","Banks","Diversified Banks"
"IID000000002127164","ING Groep N.V.","INGA","456837103","BZ57390","NL0011821202","NL","Financials","Banks","Diversified Banks"
"IID000000002127184","LG CHEM LTD","051910","501955AB4","6346913","KR7051910008","KR","Materials","Chemicals","Commodity Chemicals"
"IID000000002127207","SANTOS LIMITED","STO","803021807","6776703","AU000000STO6","AU","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production"
"IID000000002127241","KING SLIDE WORKS CO.,LTD","2059","","B01H720","TW0002059003","TW","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
"IID000000002127249","UDR, INC.","UDR","902653104","2727910","US9026531049","US","Real Estate","Residential REITs","Multi-Family Residential REITs"
"IID000000002127272","KERRY GROUP PUBLIC LIMITED COMPANY","KRZ","492460100","4519579","IE0004906560","IE","Consumer Staples","Food Products","Packaged Foods & Meats"
"IID000000002127335","KLEPIERRE SA","LI","49890A107","7582556","FR0000121964","FR","Real Estate","Retail REITs","Retail REITs"
"IID000000002127382","MAHINDRA AND MAHINDRA LIMITED","M&M","559832100","6100186","INE101A01026","IN","Consumer Discretionary","Automobiles","Automobile Manufacturers"
"IID000000002127394","COMPAGNIE GENERALE DES ETABLISSEMENTS MICHELIN SCA","ML","59410T106","BPBPJ01","FR001400AJ45","FR","Consumer Discretionary","Automobile Components","Tires & Rubber"
"IID000000002127471","EXXON MOBIL CORPORATION","XOM","30231G102","2326618","US30231G1022","US","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas"
"IID000000002127498","ADANI ENTERPRISES LIMITED","ADANIENT","","BVFDF50","IN9423A01030","IN","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"IID000000002127567","MAPFRE, S.A.","MAP","565100104","B1G40S0","ES0124244E34","ES","Financials","Insurance","Multi-line Insurance"
"IID000000002127715","Norsk Hydro ASA","NHY","656531605","B11HK39","NO0005052605","NO","Materials","Metals & Mining","Aluminum"
"IID000000002127878","OBAYASHI CORPORATION","1802","674228200","6656407","JP3190000004","JP","Industrials","Construction & Engineering","Construction & Engineering"
"IID000000002127907","OMV Aktiengesellschaft","OMV","670875509","4651459","AT0000743059","AT","Energy","Oil, Gas & Consumable Fuels","Integrated Oil & Gas"
"IID000000002127908","Japan Exchange Group, Inc.","8697","471059105","6743882","JP3183200009","JP","Financials","Capital Markets","Financial Exchanges & Data"
"IID000000002128085","SINGAPORE AIRLINES LIMITED","C6L","82930C106","6811734","SG1V61937297","SG","Industrials","Passenger Airlines","Passenger Airlines"
"IID000000002128128","Trelleborg AB","TREL B","89473T107","4902384","SE0000114837","SE","Industrials","Machinery","Industrial Machinery & Supplies & Components"
"IID000000002128271","Demant A/S","DEMANT","24803R109","BZ01RF1","DK0060738599","DK","Health Care","Health Care Equipment & Supplies","Health Care Equipment"
"IID000000002128280","Wolters Kluwer N.V.","WKL","977874205","5671519","NL0000395903","NL","Industrials","Professional Services","Research & Consulting Services"
"IID000000002128288","SMITHS GROUP PLC","SMIN","83238P203","B1WY233","GB00B1WY2338","GB","Industrials","Industrial Conglomerates","Industrial Conglomerates"
"IID000000002128337","3I GROUP PLC","III","88579N105","B1YW440","GB00B1YW4409","GB","Financials","Capital Markets","Asset Management & Custody Banks"
"IID000000002128341","SALMAR ASA","SALM","79547H106","B1W5NW2","NO0010310956","NO","Consumer Staples","Food Products","Packaged Foods & Meats"
"IID000000002128364","POWSZECHNA KASA OSZCZEDNOSCI BANK POLSKI SPOLKA AKCYJNA","PKO","69341F109","B03NGS5","PLPKO0000016","PL","Financials","Banks","Diversified Banks"
"IID000000002128376","PEARSON PLC","PSON","705015105","0677608","GB0006776081","GB","Consumer Discretionary","Diversified Consumer Services","Education Services"
"IID000000002128510","Open Text Corporation","OTEX","683715106","2260824","CA6837151068","CA","Information Technology","Software","Application Software"
"IID000000002128543","QBE INSURANCE GROUP LIMITED","QBE","74728G605","6715740","AU000000QBE9","AU","Financials","Insurance","Property & Casualty Insurance"
"IID000000002128557","PAYCHEX, INC.","PAYX","704326107","2674458","US7043261079","US","Industrials","Professional Services","Human Resource & Employment Services"
"IID000000002128558","PACCAR INC","PCAR","693718108","2665861","US6937181088","US","Industrials","Machinery","Construction Machinery & Heavy Transportation Equipment"
"IID000000002128581","THE CHARLES SCHWAB CORPORATION","SCHW","808513105","2779397","US8085131055","US","Financials","Capital Markets","Investment Banking & Brokerage"
"IID000000002128610","POWER FINANCE CORPORATION LIMITED","PFC","73928QAB4","B1S7225","INE134E01011","IN","Financials","Financial Services","Specialized Finance"
"IID000000002128620","RECORDATI INDUSTRIA CHIMICA E FARMACEUTICA S.P.A.","REC","75625L100","B07DRZ5","IT0003828271","IT","Health Care","Pharmaceuticals","Pharmaceuticals"
"IID000000002128683","T. ROWE PRICE GROUP, INC.","TROW","74144T108","2702337","US74144T1088","US","Financials","Capital Markets","Asset Management & Custody Banks"
"IID000000002128743","PPG INDUSTRIES, INC.","PPG","693506107","2698470","US6935061076","US","Materials","Chemicals","Specialty Chemicals"
"IID000000002128802","THE PNC FINANCIAL SERVICES GROUP, INC.","PNC","693475105","2692665","US6934751057","US","Financials","Banks","Diversified Banks"
"IID000000002128825","NVR, Inc.","NVR","62944T105","2637785","US62944T1051","US","Consumer Discretionary","Household Durables","Homebuilding"
"IID000000002128842","Wheaton Precious Metals Corp.","WPM","962879102","BF13KN5","CA9628791027","CA","Materials","Metals & Mining","Gold"
"IID000000002128874","ROYAL BANK OF CANADA","RY","780087102","2754383","CA7800871021","CA","Financials","Banks","Diversified Banks"
"IID000000002128891","SINGAPORE TELECOMMUNICATIONS LIMITED","Z74","82929R304","B02PY11","SG1T75931496","SG","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services"
"IID000000002129002","VALE S.A.","VALE3","91912E105","2196286","BRVALEACNOR0","BR","Materials","Metals & Mining","Steel"
"IID000000002129013","WEC ENERGY GROUP INC.","WEC","92939U106","BYY8XK8","US92939U1060","US","Utilities","Multi-Utilities","Multi-Utilities"
"IID000000002129055","WATSCO, INC.","WSO","942622200","2943039","US9426222009","US","Industrials","Trading Companies & Distributors","Trading Companies & Distributors"
"IID000000002129057","YARA INTERNATIONAL ASA","YAR","984851204","7751259","NO0010208051","NO","Materials","Chemicals","Fertilizers & Agricultural Chemicals"
"IID000000002129078","SAFRAN SA","SAF","786584102","B058TZ6","FR0000073272","FR","Industrials","Aerospace & Defense","Aerospace & Defense"
"IID000000002129090","SASOL LIMITED","SOL","803866102","6777450","ZAE000006896","ZA","Materials","Chemicals","Diversified Chemicals"
"IID000000002129102","ELEVANCE HEALTH, INC.","ELV","036752103","BSPHGL4","US0367521038","US","Health Care","Health Care Providers & Services","Managed Health Care"
"IID000000002129120","TELEDYNE TECHNOLOGIES INCORPORATED","TDY","879360105","2503477","US8793601050","US","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments"
