company_name,gics_sector,n_reviews,mined_b01_mean_score,mined_b01_n_scored,mined_b02_mean_score,mined_b02_n_scored,mined_b03_mean_score,mined_b03_n_scored,mined_b04_mean_score,mined_b04_n_scored,mined_b05_mean_score,mined_b05_n_scored,mined_b06_mean_score,mined_b06_n_scored,mined_b07_mean_score,mined_b07_n_scored,mined_b08_mean_score,mined_b08_n_scored,mined_b09_mean_score,mined_b09_n_scored,mined_b10_mean_score,mined_b10_n_scored,mined_b11_mean_score,mined_b11_n_scored,mined_b12_mean_score,mined_b12_n_scored,expert_b01_mean_score,expert_b01_n_scored,expert_b02_mean_score,expert_b02_n_scored,expert_b03_mean_score,expert_b03_n_scored,expert_b04_mean_score,expert_b04_n_scored,expert_b05_mean_score,expert_b05_n_scored,expert_b06_mean_score,expert_b06_n_scored,expert_b07_mean_score,expert_b07_n_scored,expert_b08_mean_score,expert_b08_n_scored,expert_b09_mean_score,expert_b09_n_scored,expert_b10_mean_score,expert_b10_n_scored,expert_b11_mean_score,expert_b11_n_scored,expert_b12_mean_score,expert_b12_n_scored
3i Group,Financials,67,0.0,6,0.3909,14,0.0786,12,0.0527,10,0.3333,6,0.7547,11,0.6713,22,-0.4374,12,0.25,8,0.2,5,0.1429,7,-1.0,7,,0,,0,1.0,1,,0,1.0,1,,0,,0,,0,,0,0.0,2,,0,-1.0,1
ABN AMRO,Financials,1264,-0.0133,87,-0.1564,244,0.179,132,0.0665,197,0.2858,118,0.1462,175,0.5825,404,-0.4587,219,0.2709,87,-0.2223,171,0.2782,69,-0.1158,118,-1.0,2,-0.5556,9,0.625,16,,0,0.3333,9,-0.5,4,-1.0,2,-0.9167,12,1.0,11,-0.9091,11,1.0,1,0.6,10
AXA Group,Financials,248,0.4118,17,-0.2049,35,0.3333,27,0.1145,32,0.5862,29,0.2897,32,0.6409,75,-0.6218,39,0.0526,19,0.2053,23,0.6438,14,-0.2,25,,0,0.0,2,1.0,1,,0,1.0,1,,0,,0,-1.0,2,0.3333,3,,0,,0,0.3333,3
Absa,Financials,1419,-0.3141,82,0.1117,293,0.2011,75,-0.0916,175,0.3782,123,0.3732,179,0.6589,386,-0.3826,257,0.2773,143,0.0851,152,0.0346,50,-0.1807,104,,0,-0.3333,3,0.4286,7,-1.0,2,0.6,5,1.0,6,-0.3333,9,-0.6923,13,0.3333,18,,0,,0,0.2727,11
Admiral Group,Financials,530,-0.0652,46,-0.5908,76,0.5671,42,0.1523,74,0.1398,52,0.5273,88,0.5746,85,-0.0846,112,0.2929,88,0.0075,55,0.1722,25,-0.2299,41,,0,,0,0.5,4,-1.0,1,,0,1.0,2,,0,-1.0,3,0.6667,18,,0,,0,0.2,5
Affirm,Financials,634,-0.2183,67,-0.0493,188,0.5475,87,-0.1238,132,0.368,111,0.3587,121,0.6387,193,-0.5831,174,0.0733,94,-0.1482,127,0.3845,63,-0.3384,102,,0,0.0,2,0.0,2,,0,1.0,2,1.0,1,,0,-0.75,8,-0.4667,15,0.3333,3,1.0,1,0.7143,7
Aflac,Financials,4855,-0.115,265,-0.4189,1356,0.3235,242,0.1326,689,0.0827,377,0.7359,1442,0.6806,1107,-0.2147,956,0.2103,740,-0.1078,315,0.33,353,-0.4766,248,1.0,6,0.0,2,-0.2,10,,0,-0.3103,29,1.0,2,-1.0,1,-0.3571,14,0.625,32,,0,0.4,5,-0.0909,11
Ageas,Financials,377,-0.097,39,-0.4883,54,0.0819,27,0.2316,59,0.5473,56,0.3303,68,0.3491,90,-0.4792,69,0.0887,74,0.0052,53,-0.0872,22,-0.2651,42,-1.0,1,-0.3333,3,0.0,2,-1.0,1,1.0,3,1.0,1,0.0,1,-0.6667,6,0.4286,7,0.0,2,,0,-1.0,1
Agricultural Bank of China,Financials,60,0.3333,3,-0.0909,11,-0.1429,7,-1.0,4,0.3333,3,0.6725,8,0.1667,12,-0.1429,7,0.48,4,0.4286,7,,0,-1.0,5,,0,,0,,0,,0,,0,,0,,0,,0,1.0,1,,0,,0,,0
AllianceBernstein,Asset Management/Other,1391,-0.2285,78,-0.2351,377,0.3805,194,-0.1313,146,0.3202,194,0.3346,245,0.6998,391,-0.3737,333,-0.0229,210,0.1546,151,0.3797,107,-0.1797,130,-0.3333,3,-0.8,10,0.2,10,-1.0,1,-1.0,1,1.0,1,,0,-0.0417,24,0.1667,12,-1.0,1,1.0,2,0.6667,12
Allianz Group,Financials,7684,-0.1597,433,-0.1887,1126,0.2575,743,0.08,1088,0.4493,722,0.1993,1152,0.548,2016,-0.4928,1300,0.1644,854,0.1436,928,0.1657,401,-0.1163,641,0.1429,7,-0.125,16,0.36,25,-0.5,4,0.6471,34,0.7143,7,-0.5385,13,-0.5056,89,0.6198,121,-1.0,9,1.0,2,0.434,53
