dictionary,dim_a,dim_b,reviews_with_both,jaccard_pct
expert,b01,b02,3,0.26
expert,b01,b06,1,0.29
expert,b01,b07,3,0.59
expert,b01,b08,5,0.2
expert,b01,b09,2,0.08
expert,b01,b10,1,0.28
expert,b01,b11,1,0.25
expert,b01,b12,2,0.13
expert,b02,b03,7,0.35
expert,b02,b04,2,0.19
expert,b02,b05,6,0.36
expert,b02,b07,4,0.31
expert,b02,b08,20,0.62
expert,b02,b09,10,0.29
expert,b02,b10,1,0.09
expert,b02,b11,2,0.17
expert,b02,b12,8,0.36
expert,b03,b05,5,0.28
expert,b03,b06,2,0.16
expert,b03,b07,5,0.36
expert,b03,b08,23,0.69
expert,b03,b09,15,0.43
expert,b03,b10,1,0.08
expert,b03,b11,2,0.16
expert,b03,b12,7,0.3
expert,b04,b05,2,0.24
expert,b04,b08,1,0.04
expert,b04,b09,2,0.08
expert,b04,b12,2,0.14
expert,b05,b06,3,0.34
expert,b05,b07,2,0.19
expert,b05,b08,10,0.34
expert,b05,b09,9,0.28
expert,b05,b11,1,0.11
expert,b05,b12,9,0.45
expert,b06,b07,2,0.41
expert,b06,b08,1,0.04
expert,b06,b09,3,0.11
expert,b06,b10,1,0.3
expert,b06,b11,2,0.52
expert,b06,b12,4,0.27
expert,b07,b08,4,0.15
expert,b07,b09,1,0.04
expert,b07,b10,2,0.41
expert,b07,b11,1,0.18
expert,b07,b12,3,0.18
expert,b08,b09,57,1.22
expert,b08,b10,6,0.25
expert,b08,b11,3,0.12
expert,b08,b12,28,0.79
expert,b09,b10,4,0.15
expert,b09,b11,5,0.19
expert,b09,b12,42,1.13
expert,b10,b12,5,0.34
expert,b11,b12,7,0.46
mined,b01,b02,3765,7.29
mined,b01,b03,1526,5.11
mined,b01,b04,2175,6.65
mined,b01,b05,1675,5.26
mined,b01,b06,3049,7.89
mined,b01,b07,4513,7.35
mined,b01,b08,3286,7.1
mined,b01,b09,1698,5.69
mined,b01,b10,1990,6.57
mined,b01,b11,1293,6.12
mined,b01,b12,1481,6.04
mined,b02,b03,5312,8.93
mined,b02,b04,6590,10.68
mined,b02,b05,5987,9.82
mined,b02,b06,9853,15.1
mined,b02,b07,15632,18.68
mined,b02,b08,11714,16.43
mined,b02,b09,6030,10.23
mined,b02,b10,5890,9.84
mined,b02,b11,3748,7.19
mined,b02,b12,4527,8.24
mined,b03,b04,3766,9.31
mined,b03,b05,2810,7.01
mined,b03,b06,4071,8.67
mined,b03,b07,6386,9.27
mined,b03,b08,5297,9.87
mined,b03,b09,2388,6.2
mined,b03,b10,2717,6.98
mined,b03,b11,1793,5.98
mined,b03,b12,2063,6.19
mined,b04,b05,3415,7.95
mined,b04,b06,5928,12.19
mined,b04,b07,8070,11.42
mined,b04,b08,6947,12.51
mined,b04,b09,3297,8.02
mined,b04,b10,4093,9.97
mined,b04,b11,2568,7.85
mined,b04,b12,3003,8.37
mined,b05,b06,4449,9.13
mined,b05,b07,7505,10.74
mined,b05,b08,6208,11.31
mined,b05,b09,3662,9.3
mined,b05,b10,2659,6.46
mined,b05,b11,1889,5.9
mined,b05,b12,2352,6.69
mined,b06,b07,11345,15.29
mined,b06,b08,9168,15.25
mined,b06,b09,4536,9.72
mined,b06,b10,4878,10.36
mined,b06,b11,3858,10.09
mined,b06,b12,3540,8.4
mined,b07,b08,13337,16.65
mined,b07,b09,6665,9.69
mined,b07,b10,6582,9.46
mined,b07,b11,4510,7.3
mined,b07,b12,5645,8.79
mined,b08,b09,6367,12.07
mined,b08,b10,5643,10.41
mined,b08,b11,3861,8.37
mined,b08,b12,5036,10.37
mined,b09,b10,2810,7.2
mined,b09,b11,1987,6.63
mined,b09,b12,2708,8.24
mined,b10,b11,1833,5.94
mined,b10,b12,2654,7.89
mined,b11,b12,1763,7.15
