dictionary,dimension,n_terms,reviews_hit,reviews_hit_pct,mean_matches_per_hit_review,median_matches,p90_matches,max_matches,companies_nonzero,companies_nonzero_pct,score_mean,score_std,score_p10,score_p50,score_p90,vif,pc1_loading_sign_note
mined,b01,132,10998,5.484,1.72,1,3,16,52,100.0,-0.0996,0.9729,-1.0,-1.0,1.0,1.45,
mined,b02,158,44441,22.159,1.5,1,3,23,52,100.0,-0.1757,0.9431,-1.0,-1.0,1.0,2.17,
mined,b03,134,20363,10.154,1.36,1,2,9,51,98.1,0.3605,0.9086,-1.0,1.0,1.0,1.5,
mined,b04,132,23875,11.905,1.71,1,3,21,51,98.1,-0.103,0.9617,-1.0,-1.0,1.0,1.59,
mined,b05,154,22513,11.226,1.39,1,2,14,52,100.0,0.2108,0.957,-1.0,1.0,1.0,1.47,
mined,b06,155,30683,15.299,1.55,1,3,28,51,98.1,0.2211,0.9281,-1.0,1.0,1.0,2.09,
mined,b07,145,54877,27.363,1.38,1,2,24,52,100.0,0.6457,0.7228,-1.0,1.0,1.0,2.25,
mined,b08,156,38586,19.24,1.93,1,4,44,51,98.1,-0.3822,0.8756,-1.0,-1.0,1.0,1.58,
mined,b09,148,20536,10.24,1.64,1,3,20,52,100.0,0.1228,0.9704,-1.0,1.0,1.0,1.22,
mined,b10,156,21289,10.615,1.29,1,2,11,52,100.0,0.1496,0.9612,-1.0,1.0,1.0,1.38,
mined,b11,136,11407,5.688,1.26,1,2,8,50,96.2,0.3249,0.9193,-1.0,1.0,1.0,1.63,
mined,b12,125,15021,7.49,1.7,1,3,18,52,100.0,-0.1939,0.9517,-1.0,-1.0,1.0,2.67,
expert,b01,192,185,0.092,1.05,1,1,2,32,61.5,0.3784,0.9227,-1.0,1.0,1.0,12.02,
expert,b02,248,952,0.475,1.05,1,1,4,40,76.9,-0.6859,0.7255,-1.0,-1.0,1.0,2.24,
expert,b03,116,1061,0.529,1.02,1,1,2,47,90.4,0.3384,0.939,-1.0,1.0,1.0,7.93,
expert,b04,196,117,0.058,1.05,1,1,3,31,59.6,-0.7949,0.6068,-1.0,-1.0,-0.2,3.44,
expert,b05,276,710,0.354,1.03,1,1,2,44,84.6,0.162,0.9861,-1.0,1.0,1.0,4.88,
expert,b06,183,164,0.082,1.03,1,1,2,30,57.7,0.6585,0.7525,-1.0,1.0,1.0,4.14,
expert,b07,161,323,0.161,1.05,1,1,4,28,53.8,-0.7678,0.6383,-1.0,-1.0,1.0,4.95,
expert,b08,138,2280,1.137,1.06,1,1,4,44,84.6,-0.4641,0.8769,-1.0,-1.0,1.0,5.37,
expert,b09,233,2468,1.231,1.05,1,1,4,50,96.2,0.4263,0.9024,-1.0,1.0,1.0,5.08,
expert,b10,98,167,0.083,1.01,1,1,2,31,59.6,-0.4311,0.899,-1.0,-1.0,1.0,5.22,
expert,b11,195,219,0.109,1.02,1,1,2,32,61.5,0.7854,0.6153,-1.0,1.0,1.0,4.37,
expert,b12,206,1307,0.652,1.14,1,2,4,47,90.4,0.3784,0.9224,-1.0,1.0,1.0,6.61,
