,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12
b01,1.0,-0.06,-0.168,0.09,-0.036,0.586,-0.669,-0.475,0.444,0.303,0.431,-0.523
b02,-0.06,1.0,-0.371,-0.147,-0.178,0.032,0.26,0.004,0.115,0.094,0.132,0.215
b03,-0.168,-0.371,1.0,0.245,0.531,-0.249,0.229,0.535,-0.262,0.002,0.091,-0.307
b04,0.09,-0.147,0.245,1.0,0.002,0.162,-0.204,-0.197,0.229,0.391,0.3,0.405
b05,-0.036,-0.178,0.531,0.002,1.0,0.174,0.153,0.381,0.118,-0.559,0.281,-0.292
b06,0.586,0.032,-0.249,0.162,0.174,1.0,-0.599,-0.434,0.596,-0.206,0.453,-0.136
b07,-0.669,0.26,0.229,-0.204,0.153,-0.599,1.0,0.291,-0.497,-0.135,-0.155,0.158
b08,-0.475,0.004,0.535,-0.197,0.381,-0.434,0.291,1.0,-0.161,-0.228,-0.308,-0.165
b09,0.444,0.115,-0.262,0.229,0.118,0.596,-0.497,-0.161,1.0,0.047,0.632,-0.06
b10,0.303,0.094,0.002,0.391,-0.559,-0.206,-0.135,-0.228,0.047,1.0,0.157,0.116
b11,0.431,0.132,0.091,0.3,0.281,0.453,-0.155,-0.308,0.632,0.157,1.0,-0.108
b12,-0.523,0.215,-0.307,0.405,-0.292,-0.136,0.158,-0.165,-0.06,0.116,-0.108,1.0
