,b01,b02,b03,b04,b05,b06,b07,b08,b09,b10,b11,b12
b01,1.0,-0.11,-0.096,0.226,0.22,0.013,-0.411,-0.322,-0.05,-0.171,0.1,-0.009
b02,-0.11,1.0,0.169,-0.278,-0.029,-0.002,0.353,-0.153,-0.006,0.146,0.254,-0.445
b03,-0.096,0.169,1.0,0.03,0.039,-0.286,0.384,0.119,-0.005,-0.135,0.276,0.169
b04,0.226,-0.278,0.03,1.0,0.321,0.138,-0.403,-0.089,0.181,-0.37,-0.253,-0.067
b05,0.22,-0.029,0.039,0.321,1.0,-0.047,-0.331,-0.358,0.213,-0.312,-0.122,0.137
b06,0.013,-0.002,-0.286,0.138,-0.047,1.0,-0.157,0.168,0.201,0.093,-0.336,-0.594
b07,-0.411,0.353,0.384,-0.403,-0.331,-0.157,1.0,0.26,-0.138,0.304,0.397,0.001
b08,-0.322,-0.153,0.119,-0.089,-0.358,0.168,0.26,1.0,0.084,0.13,-0.128,-0.128
b09,-0.05,-0.006,-0.005,0.181,0.213,0.201,-0.138,0.084,1.0,-0.172,-0.05,-0.051
b10,-0.171,0.146,-0.135,-0.37,-0.312,0.093,0.304,0.13,-0.172,1.0,0.187,-0.174
b11,0.1,0.254,0.276,-0.253,-0.122,-0.336,0.397,-0.128,-0.05,0.187,1.0,0.08
b12,-0.009,-0.445,0.169,-0.067,0.137,-0.594,0.001,-0.128,-0.051,-0.174,0.08,1.0
