variant,portfolio,cumulative_pct,annualized_pct,avg_companies
C,Q1,490.9,17.97,244.3
C,Q2,342.0,14.83,241.0
C,Q3,283.4,13.32,223.5
C,Q4,215.4,11.28,222.1
C,Benchmark,326.2,14.44,
C,Q1-Q4 spread,275.5,6.69,
A,Q1,603.1,19.89,237.4
A,Q2,334.8,14.65,240.7
A,Q3,267.8,12.88,227.7
A,Q4,180.2,10.06,225.2
A,Benchmark,326.2,14.44,
A,Q1-Q4 spread,422.9,9.83,
W,Q1,423.4,16.64,237.3
W,Q2,316.2,14.18,240.2
W,Q3,281.8,13.27,228.2
W,Q4,288.7,13.46,225.3
W,Benchmark,326.2,14.44,
W,Q1-Q4 spread,134.7,3.18,
