variant,through,spread_ann_pct
C,2018-09-30,0.55
C,2018-12-31,1.7
C,2019-03-31,1.54
C,2019-06-30,1.09
C,2019-09-30,0.73
C,2019-12-31,-1.01
C,2020-03-31,-2.11
C,2020-06-30,-2.89
C,2020-09-30,-2.67
C,2020-12-31,-1.54
C,2021-03-31,-0.78
C,2021-06-30,0.87
C,2021-09-30,0.29
C,2021-12-31,2.14
C,2022-03-31,3.48
C,2022-06-30,5.21
C,2022-09-30,6.31
C,2022-12-31,6.84
C,2023-03-31,9.53
C,2023-06-30,12.61
C,2023-09-30,12.41
C,2023-12-31,15.07
C,2024-03-31,16.76
C,2024-06-30,15.09
C,2024-09-30,15.92
C,2024-12-31,15.46
C,2025-03-31,16.63
C,2025-06-30,16.17
C,2025-09-30,16.27
C,2025-12-31,17.07
C,2026-03-31,14.72
C,2026-06-30,12.32
A,2018-09-30,8.35
A,2018-12-31,9.1
A,2019-03-31,8.81
A,2019-06-30,8.77
A,2019-09-30,9.67
A,2019-12-31,8.2
A,2020-03-31,10.51
A,2020-06-30,12.11
A,2020-09-30,12.25
A,2020-12-31,11.41
A,2021-03-31,13.32
A,2021-06-30,14.83
A,2021-09-30,13.21
A,2021-12-31,11.55
A,2022-03-31,10.16
A,2022-06-30,12.47
A,2022-09-30,10.69
A,2022-12-31,10.49
A,2023-03-31,10.37
A,2023-06-30,9.22
A,2023-09-30,9.39
A,2023-12-31,11.05
A,2024-03-31,10.41
A,2024-06-30,8.62
A,2024-09-30,10.22
A,2024-12-31,10.55
A,2025-03-31,13.22
A,2025-06-30,10.74
A,2025-09-30,12.74
A,2025-12-31,11.1
A,2026-03-31,8.64
A,2026-06-30,7.41
W,2018-09-30,4.01
W,2018-12-31,4.19
W,2019-03-31,4.09
W,2019-06-30,3.93
W,2019-09-30,5.82
W,2019-12-31,6.14
W,2020-03-31,7.03
W,2020-06-30,8.78
W,2020-09-30,10.34
W,2020-12-31,6.86
W,2021-03-31,7.48
W,2021-06-30,8.72
W,2021-09-30,7.28
W,2021-12-31,4.38
W,2022-03-31,2.6
W,2022-06-30,4.52
W,2022-09-30,2.96
W,2022-12-31,1.89
W,2023-03-31,1.78
W,2023-06-30,-0.6
W,2023-09-30,-0.88
W,2023-12-31,1.93
W,2024-03-31,0.88
W,2024-06-30,0.18
W,2024-09-30,1.6
W,2024-12-31,2.65
W,2025-03-31,5.51
W,2025-06-30,2.86
W,2025-09-30,4.03
W,2025-12-31,1.95
W,2026-03-31,0.07
W,2026-06-30,0.13
