variant,period,portfolio,cumulative_pct,annualized_pct
C,2016-2020,Q1,92.9,14.05
C,2016-2020,Q2,94.5,14.23
C,2016-2020,Q3,92.9,14.05
C,2016-2020,Q4,101.7,15.06
C,2016-2020,Benchmark,95.6,14.35
C,2016-2020,Q1-Q4 spread,-8.8,-1.01
C,2021-present,Q1,206.2,21.49
C,2021-present,Q2,127.2,15.34
C,2021-present,Q3,98.7,12.68
C,2021-present,Q4,56.4,8.09
C,2021-present,Benchmark,117.9,14.51
C,2021-present,Q1-Q4 spread,149.8,13.4
A,2016-2020,Q1,151.0,20.21
A,2016-2020,Q2,100.6,14.94
A,2016-2020,Q3,83.7,12.93
A,2016-2020,Q4,54.7,9.12
A,2016-2020,Benchmark,95.6,14.35
A,2016-2020,Q1-Q4 spread,96.3,11.09
A,2021-present,Q1,180.1,19.62
A,2021-present,Q2,116.8,14.4
A,2021-present,Q3,100.2,12.83
A,2021-present,Q4,81.1,10.88
A,2021-present,Benchmark,117.9,14.51
A,2021-present,Q1-Q4 spread,99.0,8.74
W,2016-2020,Q1,139.5,19.09
W,2016-2020,Q2,91.7,13.9
W,2016-2020,Q3,85.2,13.12
W,2016-2020,Q4,69.8,11.17
W,2016-2020,Benchmark,95.6,14.35
W,2016-2020,Q1-Q4 spread,69.7,7.92
W,2021-present,Q1,118.5,14.56
W,2021-present,Q2,117.1,14.43
W,2021-present,Q3,106.1,13.4
W,2021-present,Q4,129.0,15.5
W,2021-present,Benchmark,117.9,14.51
W,2021-present,Q1-Q4 spread,-10.5,-0.94
