window_end,bucket,n_est,alpha,r2,cv_r2,conf,thin_vs_current
2015-12-31,Aerospace & Defense,15,0.3,0.963,0.322,10510.0,True
2015-12-31,Application Software,16,10.0,0.629,0.17,10897.0,True
2015-12-31,Automobile Manufacturers,8,30.0,0.345,-0.693,2265.0,True
2015-12-31,Consumer Staples,8,30.0,0.386,-0.306,2348.0,True
2015-12-31,Diversified Banks,41,30.0,0.264,-0.107,31942.0,True
2015-12-31,Electric Utilities,13,30.0,0.411,-0.228,2250.0,True
2015-12-31,Financials,11,30.0,0.454,-0.302,6727.0,True
2015-12-31,global,557,30.0,0.247,0.211,285312.0,True
2015-12-31,Health Care Equipment,15,30.0,0.297,-0.226,4339.0,False
2015-12-31,"Hotels, Resorts & Cruise Lines",8,30.0,0.384,-0.382,3946.0,True
2015-12-31,Industrial Machinery & Supplies & Components,14,30.0,0.436,-0.156,2067.0,True
2015-12-31,Industrials,9,10.0,0.724,0.039,6895.0,True
2015-12-31,Integrated Oil & Gas,11,30.0,0.39,-0.25,4197.0,False
2015-12-31,Integrated Telecommunication Services,9,30.0,0.331,-0.655,15217.0,True
2015-12-31,Life & Health Insurance,11,30.0,0.467,-0.092,6157.0,True
2015-12-31,Metals & Mining,8,30.0,0.466,-0.407,1297.0,True
2015-12-31,Multi-Utilities,11,30.0,0.328,-0.422,1512.0,False
2015-12-31,Packaged Foods & Meats,11,30.0,0.542,-0.173,4077.0,True
2015-12-31,Pharmaceuticals,18,30.0,0.494,0.058,7589.0,True
2015-12-31,Property & Casualty Insurance,10,30.0,0.365,-0.391,6823.0,True
2015-12-31,Research & Consulting Services,12,0.1,0.997,0.253,10624.0,False
2015-12-31,Semiconductors,15,30.0,0.401,-0.161,16529.0,False
2015-12-31,Specialty Retail,8,30.0,0.334,-0.612,8247.0,True
2015-12-31,"Technology Hardware, Storage & Peripherals",8,0.1,1.0,0.118,2898.0,True
2015-12-31,Trading Companies & Distributors,10,0.1,1.0,0.253,3327.0,True
2016-12-31,Aerospace & Defense,15,3.0,0.757,-0.205,13782.0,True
2016-12-31,Application Software,16,10.0,0.716,0.353,15483.0,True
2016-12-31,Asset Management & Custody Banks,12,30.0,0.184,-0.431,7208.0,False
2016-12-31,Automobile Manufacturers,8,30.0,0.467,-0.384,3106.0,True
2016-12-31,Commercial Services & Supplies,8,0.1,1.0,0.144,2837.0,False
2016-12-31,Consumer Staples,12,0.1,0.997,0.457,3778.0,True
2016-12-31,Diversified Banks,55,30.0,0.209,-0.148,45676.0,True
2016-12-31,Electrical Components & Equipment,8,30.0,0.341,-0.414,5113.0,True
2016-12-31,Electric Utilities,18,30.0,0.282,-0.283,3626.0,True
2016-12-31,Financials,14,30.0,0.438,-0.126,9995.0,False
