Company,Sector,Total Reviews,Purpose & Mission Orientation,Long-term / Future Orientation,Collaborative vs Individualistic,Hierarchical vs Egalitarian,Psychological Safety & Openness,Caring & People-Centricity,Performance & Execution Orientation,Process & Rule Orientation,Integrity & Ethical Responsibility,Innovation & Risk Appetite,Agility & Adaptability,Continuous Learning & Development,Customer / Stakeholder Focus,Competitive Assertiveness,"Diversity, Equity & Inclusion",Profession-Focused vs Company-Focused,Internally Driven vs Externally Driven,Strong vs Loose Social Norms
37 Interactive,Communication Services,4,0,1.0,0,0,0,1.0,1.0,0,0,1.0,0,0,1.0,0.0,1.0,0,0,0
3i Group,Financials,67,1.0,0.782,0.8444,0.7016,1.0,1.0,1.0,0.875,0.7184,0.83,0.25,1.0,1.0,1.0,0.9091,1.0,1.0,1.0
3M,Industrials,6841,0.9689,0.3386,0.5624,0.9535,0.8219,0.9652,0.7105,0.5318,0.6016,0.934,0.7561,0.9847,0.9836,0.7503,0.9321,0.8624,1.0,0.8015
3SBio,Health Care,2,0,0,0,1.0,0,1.0,-1.0,1.0,0,0,0,0,1.0,0,1.0,1.0,0,0
AAC Technologies,Information Technology,48,1.0,0.4545,0.6875,0.8951,0.8182,0.9276,0.7885,0.75,0.6667,1.0,0.6667,1.0,1.0,1.0,1.0,1.0,1.0,0.7143
ABB,Industrials,9547,0.9911,0.2382,0.5659,0.9147,0.8788,0.9887,0.6697,0.6426,0.7416,0.94,0.7892,0.9703,0.9899,0.8474,0.9573,0.9939,0.687,0.8834
Abbott,Health Care,8270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AbbVie,Health Care,5799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABN AMRO,Financials,1263,1.0,0.3744,0.5172,0.8256,0.8912,0.9991,0.504,0.7013,0.5524,0.937,0.5404,0.9751,0.9754,0.8095,0.9551,0.9766,0.7143,0.8217
Absa,Financials,1414,0.9901,0.5221,0.5271,0.9105,0.9424,0.9871,0.8516,0.6325,0.4666,0.9445,0.7786,0.9862,0.9973,0.8841,0.9322,0.9867,0.8182,0.9246
AB Securitas ,Industrials,5,0,0,1.0,0,0,1.0,1.0,1.0,0,1.0,1.0,0,1.0,0,0,1.0,0,0
Abu Dhabi Commercial Bank,Financials,515,1.0,0.4559,0.5084,0.9265,0.9091,0.9976,0.7171,0.8237,0.3966,0.9291,0.6624,0.9762,0.9902,0.9501,0.8554,0.9688,1.0,0.8785
AB Volvo,Industrials,7,1.0,1.0,0,0.8462,1.0,1.0,0.0,0.0,0,1.0,0,1.0,0,0,1.0,0,0,0.3333
Accelink Technologies,Information Technology,6,0,1.0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1.0
Accenture,Information Technology,81010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acciona,Utilities,474,1.0,0.6009,0.6082,0.9571,0.5253,0.974,0.8327,0.8244,0.6308,0.9873,0.7816,0.9764,1.0,0.8333,0.9061,1.0,1.0,0.9697
Accor,Consumer Discretionary,2509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accton Technology,Information Technology,54,1.0,0.5556,0.2714,1.0,0.6667,0.9615,0.9048,0.4167,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ACM Research,Information Technology,4,0,1.0,0.75,0.6666,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,1.0
Acwa Power,Utilities,109,1.0,0.5,-0.3095,0.9487,0.8036,0.9854,0.9644,0.4535,0.8457,0.9554,0.9615,1.0,0.9355,0.9664,0.9304,1.0,1.0,0.9259
Adani Group,Industrials,1306,0.9888,0.302,0.6742,0.9493,0.9192,0.9957,0.8124,0.772,0.683,0.9294,0.8864,0.9618,0.9878,0.8976,0.9364,1.0,1.0,0.9413
Adani Power,Utilities,514,1.0,0.4333,0.5006,0.9526,0.9584,0.9977,0.8851,0.8229,0.5172,0.9649,0.9178,0.9803,0.9915,0.9291,0.9729,1.0,0,1.0
Addtech,Industrials,1,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,1.0
ADES International Holding,Energy,16,1.0,1.0,0.42,1.0,-0.3333,1.0,1.0,1.0,-0.0476,1.0,1.0,0.6667,0.8,1.0,0.5,1.0,1.0,1.0
ADIB,Financials,19,1.0,0.3333,0.0,1.0,1.0,1.0,0.9294,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
adidas,Consumer Discretionary,7440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Admiral Group,Financials,1244,0.9636,0.2251,0.8181,0.9072,0.7856,0.9857,0.9294,0.3481,0.6852,0.9772,0.9375,0.9977,0.9745,0.8878,0.9406,0.9223,1.0,0.6715
ADNOC Group,Energy,1073,0.9855,0.3791,0.8319,0.9114,0.96,0.999,0.8669,0.8778,0.7007,0.9856,0.8464,0.9694,0.9915,0.8337,0.838,1.0,0.7778,0.8914
Adobe,Information Technology,11837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADP,Industrials,22524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advanced Micro-Fabrication Equipment,Information Technology,7,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,0,0,0,0
Advantech,Information Technology,503,0.9552,0.2711,0.5942,0.9286,0.844,0.9661,0.8671,0.5022,0.5441,0.9226,0.8193,0.9823,0.9963,0.8591,0.9491,1.0,0.6,0.8333
Advantest,Information Technology,253,0.92,0.3742,0.4261,0.9174,0.9429,0.9834,0.7451,0.6056,0.3586,0.8254,0.8983,0.9362,1.0,1.0,0.9062,1.0,0.6,0.7714
Adyen,Financials,952,1.0,0.2393,0.2497,0.7426,0.8616,0.9649,0.8466,0.4945,0.567,0.9556,0.8625,0.973,0.9889,0.7788,0.9393,0.9545,0.9556,0.7169
AECOM,Industrials,12235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aegon,Financials,886,0.9739,0.3868,0.5396,0.8806,0.8543,0.987,0.6454,0.484,0.6998,0.9348,0.7611,0.9917,0.9979,0.7922,0.9627,1.0,0.8571,0.8276
Aena,Industrials,13,1.0,0.5,0,0.6667,1.0,1.0,1.0,1.0,0,0.7143,0.5,0.5,1.0,1.0,1.0,1.0,0,1.0
AEON,Consumer Staples,718,1.0,-0.1667,0.5813,0.955,0.8595,0.9723,0.7588,0.5095,0.6234,0.9513,0.822,0.9583,1.0,0.9409,0.9294,1.0,0.6667,0.8718
AerCap,Industrials,55,1.0,0.0455,0.6,0.7895,0.6071,0.9459,0.7895,0.3333,0.8667,1.0,0.6333,0.9231,1.0,1.0,1.0,1.0,1.0,1.0
Affirm,Financials,629,0.9774,0.3152,0.3858,0.9453,0.8779,0.9862,0.8643,0.6673,0.7399,0.9541,0.9307,0.9637,0.9554,0.7724,0.9423,0.9754,0.6991,0.777
Aflac,Financials,4851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ageas,Financials,375,1.0,0.1482,0.7006,0.9289,0.5584,0.9684,0.7365,0.3235,0.7446,0.9526,0.9012,0.9294,1.0,0.8605,0.957,0.907,1.0,0.8731
Agilent Technologies,Health Care,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agnico Eagle,Materials,183,1.0,0.1238,0.8214,0.8484,0.6889,0.9615,0.6388,0.7738,0.7651,0.9416,0.7536,1.0,1.0,0.7391,0.5336,1.0,1.0,0.8036
Agricultural Bank of China,Financials,333,1.0,0.1347,0.6234,0.9158,0.8182,0.971,0.825,0.8197,0.4444,0.9455,0.4375,0.9818,1.0,0.8824,1.0,1.0,0,0.8776
AIA,Financials,298,1.0,0.3649,0.4444,0.9577,0.8889,0.9822,0.8632,0.3113,-0.1978,0.996,0.7321,1.0,1.0,0.7703,1.0,1.0,1.0,0.9259
AIB,Financials,264,1.0,0.2632,0.2091,0.9538,0.8462,0.9843,0.4048,0.6491,0.5909,0.9794,0.7356,0.9855,1.0,0.8095,1.0,1.0,1.0,0.7738
AIG,Financials,8299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airbnb,Consumer Discretionary,2983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airbus,Industrials,4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Air China,Industrials,171,1.0,0.0,0.0667,0.9037,0.8,1.0,0.7857,0.7597,0.6667,1.0,0.6875,1.0,1.0,1.0,1.0,1.0,0,0.3333
Air Liquide,Materials,2422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airports of Thailand,Industrials,10,0,0,-1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,-1.0,1.0,1.0,0,1.0,0,0,0
Air Products,Materials,1657,0.9917,0.3999,0.5182,0.9076,0.8413,0.9814,0.8184,0.6332,0.7374,0.9437,0.8915,0.9733,0.9914,0.8533,0.9444,0.9607,0.8065,0.8865
AirTAC,Industrials,16,1.0,1.0,0,1.0,0.6364,1.0,1.0,0.6,0.6364,1.0,1.0,1.0,1.0,0.7143,1.0,0,1.0,1.0
Aisin,Consumer Discretionary,11,1.0,0,-1.0,1.0,0,1.0,-1.0,1.0,1.0,1.0,0,0.5,1.0,0,1.0,1.0,0,0
Ajinomoto,Consumer Staples,309,0.9683,-0.0227,0.6752,0.9833,0.7872,0.9699,0.5739,0.7742,0.7318,0.8464,0.7727,0.904,1.0,0.7949,0.92,0.9259,1.0,0.8605
Akbank,Financials,337,1.0,0.0026,0.5516,0.8739,0.7857,1.0,0.6347,0.7819,0.7619,0.9263,0.5741,0.9855,1.0,0.9318,0.9608,0.9891,1.0,0.9596
Aker BP,Energy,23,1.0,-1.0,1.0,1.0,1.0,1.0,0.88,0.3037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5065
Akeso,Health Care,6,1.0,1.0,0.7857,1.0,0,1.0,0.6667,0.0,-0.3333,0.5,1.0,0.6667,1.0,0,0,1.0,0,1.0
Alamos Gold,Materials,51,1.0,0.6364,0.9733,1.0,0.6,0.963,0.8333,0.7143,0.7381,1.0,1.0,1.0,1.0,0.9091,1.0,1.0,1.0,0.8
Alchip,Information Technology,9,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,0,0,1.0,0,0.4285
Alcon,Health Care,80,1.0,0.2,0.439,0.9815,0.8333,0.956,0.72,0.5,0.6923,1.0,0.7778,1.0,1.0,1.0,0.9615,1.0,1.0,0.9121
Aldar Holding,Real Estate,66,1.0,0.7473,0.4622,0.8813,0.6825,0.9845,0.9018,1.0,0.6,0.9615,0.5,1.0,0.9731,1.0,1.0,1.0,1.0,1.0
